Location,lat,lon,CowTagID,Top_Plate_ID,Bottom_Plate_ID,Jamie_Plate_ID,Plate_Seep,Date,Time,DateTime,Tide,Day_Night,Salinity,Temperature,TA,pH,Phosphate_umolL,Silicate_umolL,NN_umolL,Ammonia_umolL
Varari,-17.54029797,-149.900492,V16,V16,V36,J16,Plate,2021-08-08,07:30:00,2021-08-08T07:30:00Z,Low,Day,36.59,27.21,2362.729916,8.047360521471242,0.21,1,0.32,0.31
Varari,-17.54031901,-149.899572,V17,V17,V37,J20,Plate,2021-08-05,11:57:00,2021-08-05T11:57:00Z,High,Day,36.28,27.61,2361.397676,8.040951721715036,0.21,2.7,0.5,0.32
Varari,-17.54031901,-149.899572,V17,V17,V37,J20,Plate,2021-08-05,00:00:00,2021-08-05T00:00:00Z,High,Night,36.02,26.98,2314.889032,8.04052755882411,0.21,1.25,0.51,0.33
Varari,-17.54031901,-149.899572,V17,V17,V37,J20,Plate,2021-08-08,18:30:00,2021-08-08T18:30:00Z,Low,Night,37.05,28.31,2355.897908,8.075427353545475,0.29,7.39,0.99,0.3
Varari,-17.54031901,-149.899572,V17,V17,V37,J20,Plate,2021-08-06,06:40:00,2021-08-06T06:40:00Z,Low,Day,36.34,26.88,2385.194946,7.9762200267233405,0.21,1.69,0.39,0.11
Varari,-17.54031901,-149.899572,V17,V17,V37,J20,Plate,2021-08-08,07:30:00,2021-08-08T07:30:00Z,Low,Day,36.46,27.05,2349.779191,8.01670335765042,0.22,2.06,0.41,0.24
Varari,-17.54019697,-149.899906,V18,V18,V38,J17,Plate,2021-08-05,11:57:00,2021-08-05T11:57:00Z,High,Day,36.46,27.66,2382.01882,8.047993694314352,0.22,1.28,0.51,0.32
Varari,-17.54019697,-149.899906,V18,V18,V38,J17,Plate,2021-08-05,00:00:00,2021-08-05T00:00:00Z,High,Night,36.47,27.01,2320.524277,8.042213026378445,0.21,0.88,0.47,0.32
Varari,-17.54019697,-149.899906,V18,V18,V38,J17,Plate,2021-08-08,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.13,28.3,2358.4544,8.064913880499475,0.31,7.67,1.09,0.48
Varari,-17.54019697,-149.899906,V18,V18,V38,J17,Plate,2021-08-06,06:40:00,2021-08-06T06:40:00Z,Low,Day,36.39,27.03,2357.708236,7.99499750439064,0.2,0.95,0.34,0.12
Varari,-17.54019697,-149.899906,V18,V18,V38,J17,Plate,2021-08-08,07:30:00,2021-08-08T07:30:00Z,Low,Day,36.57,27.23,2365.935001,8.02642995219651,0.22,1.33,0.31,0.2
Varari,-17.54050802,-149.89978,V19,V19,V39,J18,Plate,2021-08-05,11:57:00,2021-08-05T11:57:00Z,High,Day,36.43,27.55,2359.378322,8.050684912326897,0.22,1.21,0.47,0.34
