Serial Number:20555870 --

"Date Time, GMT -1000","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","Stopped","EOF"
2022-06-03 21:52:00,26.12,0, , , , , 
2022-06-03 21:54:00,26.12,0, , , , , 
2022-06-03 21:56:00,26.12,0, , , , , 
2022-06-03 21:58:00,26.08,0, , , , , 
2022-06-03 22:00:00,26.17,0, , , , , 
2022-06-03 22:02:00,26.12,0, , , , , 
2022-06-03 22:04:00,26.12,0, , , , , 
2022-06-03 22:06:00,26.12,0, , , , , 
2022-06-03 22:08:00,26.12,0, , , , , 
2022-06-03 22:10:00,26.12,0, , , , , 
2022-06-03 22:12:00,26.12,0, , , , , 
2022-06-03 22:14:00,26.12,0, , , , , 
2022-06-03 22:16:00,26.12,0, , , , , 
2022-06-03 22:18:00,26.08,0, , , , , 
2022-06-03 22:20:00,26.12,0, , , , , 
2022-06-03 22:22:00,26.12,0, , , , , 
2022-06-03 22:24:00,26.12,0, , , , , 
2022-06-03 22:26:00,26.17,0, , , , , 
2022-06-03 22:28:00,26.12,0, , , , , 
2022-06-03 22:30:00,26.12,0, , , , , 
2022-06-03 22:32:00,26.17,0, , , , , 
2022-06-03 22:34:00,26.17,0, , , , , 
2022-06-03 22:36:00,26.17,0, , , , , 
2022-06-03 22:38:00,26.12,0, , , , , 
2022-06-03 22:40:00,26.12,0, , , , , 
2022-06-03 22:42:00,26.17,0, , , , , 
2022-06-03 22:44:00,26.12,0, , , , , 
2022-06-03 22:46:00,26.12,0, , , , , 
2022-06-03 22:48:00,26.12,0, , , , , 
2022-06-03 22:50:00,26.17,0, , , , , 
2022-06-03 22:52:00,26.17,0, , , , , 
2022-06-03 22:54:00,26.17,0, , , , , 
2022-06-03 22:56:00,26.12,0, , , , , 
2022-06-03 22:58:00,26.12,0, , , , , 
2022-06-03 23:00:00,26.12,0, , , , , 
2022-06-03 23:02:00,26.12,0, , , , , 
2022-06-03 23:04:00,26.17,0, , , , , 
2022-06-03 23:06:00,26.17,0, , , , , 
2022-06-03 23:08:00,26.17,0, , , , , 
2022-06-03 23:10:00,26.17,0, , , , , 
