date,E_Conductivity,TempInSitu,Serial,AbsPressure_bar,Sp_Conductance,Sp_Cond_mS.cm,SalinityInSitu_1pCal
2021-01-11T10:51:50Z,39601.7,27.93,319,0,52416.42653061224,52.41642653061224,32.391573339662585
2021-01-11T10:52:00Z,39652.3,27.92,319,0,52467.026530612246,52.467026530612245,32.43355524422114
2021-01-11T10:52:10Z,39660.1,27.87,319,0,52474.82653061224,52.47482653061224,32.47340904614776
2021-01-11T10:52:20Z,39691.3,27.91,319,0,52506.026530612246,52.506026530612246,32.46750824741487
2021-01-11T10:52:30Z,39703,27.92,319,0,52517.72653061224,52.517726530612244,32.468740402739265
2021-01-11T10:52:40Z,39648.4,27.93,319,0,52463.126530612244,52.46312653061224,32.4239698469444
2021-01-11T10:52:50Z,39703,27.91,319,0,52517.72653061224,52.517726530612244,32.47563019164712
2021-01-11T10:53:00Z,39660.1,27.89,319,0,52474.82653061224,52.47482653061224,32.45962524803464
2021-01-11T10:53:10Z,39683.5,27.91,319,0,52498.22653061224,52.49822653061224,32.462093792978905
2021-01-11T10:53:20Z,39722.5,27.91,319,0,52537.22653061224,52.537226530612244,32.489167465557905
2021-01-11T10:53:30Z,39773.3,27.92,319,0,52588.026530612246,52.58802653061225,32.51753749979139
2021-01-11T10:53:40Z,39679.6,27.91,319,0,52494.32653061224,52.49432653061224,32.4593866182774
2021-01-11T10:53:50Z,39722.5,27.89,319,0,52537.22653061224,52.537226530612244,32.50296030428424
2021-01-11T10:54:00Z,39816.3,27.91,319,0,52631.026530612246,52.631026530612246,32.55429745407241
2021-01-11T10:54:10Z,39714.7,27.88,319,0,52529.42653061224,52.52942653061224,32.50444185869193
2021-01-11T10:54:20Z,39683.5,27.89,319,0,52498.22653061224,52.49822653061224,32.475874843149725
2021-01-11T10:54:30Z,39722.5,27.91,319,0,52537.22653061224,52.537226530612244,32.489167465557905
2021-01-11T10:54:40Z,39730.3,27.93,319,0,52545.026530612246,52.54502653061225,32.480797249794904
2021-01-11T10:54:50Z,39652.3,27.92,319,0,52467.026530612246,52.467026530612245,32.43355524422114
2021-01-11T10:55:00Z,39664,27.94,319,0,52478.72653061224,52.47872653061224,32.42791392845654
2021-01-11T10:55:10Z,39679.6,27.93,319,0,52494.32653061224,52.49432653061224,32.445616561934294
2021-01-11T10:55:20Z,39710.8,27.92,319,0,52525.526530612246,52.52552653061225,32.47415402904639
2021-01-11T10:55:30Z,39679.6,27.91,319,0,52494.32653061224,52.49432653061224,32.4593866182774
2021-01-11T10:55:40Z,39636.7,27.92,319,0,52451.42653061224,52.45142653061224,32.42273023165238
2021-01-11T10:55:50Z,39594,27.91,319,0,52408.72653061224,52.40872653061224,32.39997642232898
2021-01-11T10:56:00Z,39636.7,27.92,319,0,52451.42653061224,52.45142653061224,32.42273023165238
2021-01-11T10:56:10Z,39609.5,27.89,319,0,52424.22653061224,52.424226530612245,32.424491547163214
2021-01-11T10:56:20Z,39601.7,27.89,319,0,52416.42653061224,52.41642653061224,32.41907620489071
2021-01-11T10:56:30Z,39621.2,27.91,319,0,52435.92653061224,52.43592653061224,32.41885260010613
2021-01-11T10:56:40Z,39632.8,27.92,319,0,52447.526530612246,52.447526530612244,32.420024066018215
2021-01-11T10:56:50Z,39562.9,27.88,319,0,52377.626530612244,52.37762653061225,32.399016410067176
2021-01-11T10:57:00Z,39590.1,27.93,319,0,52404.82653061224,52.40482653061224,32.383527019465724
2021-01-11T10:57:10Z,39586.2,27.93,319,0,52400.92653061224,52.40092653061224,32.38082186066645
2021-01-11T10:57:20Z,39570.7,27.92,319,0,52385.42653061224,52.38542653061224,32.376938298834425
2021-01-11T10:57:30Z,39578.4,27.94,319,0,52393.126530612244,52.39312653061224,32.36854556758223
2021-01-11T10:57:40Z,39590.1,27.93,319,0,52404.82653061224,52.40482653061224,32.383527019465724
2021-01-11T10:57:50Z,39559,27.91,319,0,52373.72653061224,52.373726530612245,32.37568972901515
2021-01-11T10:58:00Z,39570.7,27.92,319,0,52385.42653061224,52.38542653061224,32.376938298834425
2021-01-11T10:58:10Z,39547.4,27.93,319,0,52362.126530612244,52.362126530612244,32.353910904804216
2021-01-11T10:58:20Z,32468.4,27.87,319,0,45283.126530612244,45.28312653061224,27.537291867228806
2021-01-11T10:58:30Z,39632.8,27.91,319,0,52447.526530612246,52.447526530612244,32.42690325282528
2021-01-11T10:58:40Z,38731.6,27.88,319,0,51546.32653061224,51.54632653061224,31.82261881123224
2021-01-11T10:58:50Z,39590.1,27.85,319,0,52404.82653061224,52.40482653061224,32.43855795496321
2021-01-11T10:59:00Z,39621.2,27.92,319,0,52435.92653061224,52.43592653061224,32.41197516487194
2021-01-11T10:59:10Z,39574.6,27.92,319,0,52389.32653061224,52.389326530612244,32.37964390706761
2021-01-11T10:59:20Z,39535.8,27.92,319,0,52350.526530612246,52.35052653061225,32.352728132270556
2021-01-11T10:59:30Z,39543.5,27.94,319,0,52358.22653061224,52.35822653061224,32.3443453130152
2021-01-11T10:59:40Z,39547.4,27.94,319,0,52362.126530612244,52.362126530612244,32.34704950040421
