date,E_Conductivity,TempInSitu,Serial,Sp_Conductance,AbsPressure,TempInSitu.depth,Depth,Serial.depth,AbsPressure_bar,Sp_Cond_drift.corr,Sp_Conductance.1pcal,Sp_Cond_mS.cm,SalinityInSitu_1pCal
2021-01-15T10:14:20Z,44522.2,29.55,318,54323.684357013524,104.48,29.552,0.269,876,1.0448,0.29699248120300753,54323.98134949473,54.32398134949473,32.59142468264397
2021-01-15T10:14:30Z,44497.9,29.57,318,54294.03475457081,104.431,29.652,0.265,876,1.04431,0.2975295381310419,54294.33228410894,54.29433228410894,32.55792994432156
2021-01-15T10:14:40Z,44525.7,29.58,318,54327.95487588388,104.465,29.652,0.268,876,1.04465,0.2980665950590763,54328.25294247894,54.32825294247894,32.57402829452839
2021-01-15T10:14:50Z,44518.8,29.58,318,54319.53585296805,104.293,29.652,0.251,876,1.0429300000000001,0.29860365198711064,54319.83445662004,54.31983445662004,32.56835761300129
2021-01-15T10:15:00Z,44518.8,29.55,318,54319.53585296805,104.569,29.652,0.278,876,1.04569,0.299140708915145,54319.83499367697,54.31983499367697,32.58862947048856
2021-01-15T10:15:10Z,44494.4,29.54,318,54289.76423570046,104.362,29.652,0.258,876,1.04362,0.2996777658431794,54290.0639134663,54.2900639134663,32.575320926197165
2021-01-15T10:15:20Z,44515.3,29.52,318,54315.2653340977,104.827,29.652,0.304,876,1.04827,0.30021482277121375,54315.565548920466,54.31556554892047,32.60604256845647
2021-01-15T10:15:30Z,44445.7,29.53,318,54230.34301599014,104.345,29.652,0.256,876,1.04345,0.3007518796992481,54230.64376786984,54.23064376786984,32.54201822527482
2021-01-15T10:15:40Z,44497.9,29.54,318,54294.03475457081,104.5,29.652,0.271,876,1.045,0.3012889366272825,54294.336043507436,54.294336043507435,32.5782006467596
2021-01-15T10:15:50Z,44480.5,29.57,318,54272.804175043915,104.517,29.652,0.273,876,1.04517,0.30182599355531686,54273.10600103747,54.27310600103747,32.543629372077554
2021-01-15T10:16:00Z,44501.4,29.55,318,54298.30527344116,104.465,29.652,0.268,876,1.04465,0.3023630504833512,54298.607636491644,54.298607636491646,32.574321413323815
2021-01-15T10:16:10Z,44473.5,29.59,318,54264.26313730321,104.345,29.652,0.256,876,1.04345,0.3029001074113856,54264.56603741062,54.264566037410624,32.52438477633637
2021-01-15T10:16:20Z,44484,29.6,318,54277.07469391427,104.379,29.652,0.259,876,1.04379,0.30343716433942,54277.37813107861,54.277378131078606,32.526268043509695
2021-01-15T10:16:30Z,44452.7,29.57,318,54238.88405373084,104.293,29.652,0.251,876,1.0429300000000001,0.3039742212674543,54239.18802795211,54.23918802795211,32.520781161050074
2021-01-15T10:16:40Z,44470.1,29.59,318,54260.114633257734,104.534,29.652,0.275,876,1.0453400000000002,0.30451127819548873,54260.41914453593,54.26041914453593,32.521591850825956
2021-01-15T10:16:50Z,44456.2,29.63,318,54243.15457260119,104.379,29.652,0.259,876,1.04379,0.3050483351235231,54243.459620936315,54.243459620936314,32.48322914751671
2021-01-15T10:17:00Z,44487.4,29.62,318,54281.223197959756,104.672,29.652,0.289,876,1.04672,0.3055853920515575,54281.52878335181,54.28152878335181,32.51557918080286
2021-01-15T10:17:10Z,44473.5,29.58,318,54264.26313730321,104.913,29.652,0.312,876,1.04913,0.30612244897959184,54264.56925975219,54.26456925975219,32.53113018442416
2021-01-15T10:17:20Z,44466.6,29.63,318,54255.84411438738,104.345,29.652,0.256,876,1.04345,0.3066595059076262,54256.150773893285,54.25615077389329,32.491767538682495
2021-01-15T10:17:30Z,44397.2,29.58,318,54171.16582592956,104.62,29.652,0.283,876,1.0462,0.3071965628356606,54171.47302249239,54.17147302249239,32.46843785553569
2021-01-15T10:17:40Z,44442.3,29.59,318,54226.19451194466,104.62,29.652,0.283,876,1.0462,0.30773361976369495,54226.50224556442,54.226502245564426,32.498754193970754
2021-01-15T10:17:50Z,44421.5,29.6,318,54200.81542837228,104.431,29.652,0.265,876,1.04431,0.3082706766917293,54201.12369904898,54.20112369904898,32.47493476931756
2021-01-15T10:18:00Z,44438.8,29.65,318,54221.923993074306,104.758,29.652,0.297,876,1.04758,0.3088077336197637,54222.23280080793,54.22223280080793,32.455496544305525
2021-01-15T10:18:10Z,44424.9,29.63,318,54204.96393241777,104.586,29.652,0.28,876,1.04586,0.30934479054779807,54205.27327720832,54.20527327720832,32.457539860228955
2021-01-15T10:18:20Z,44414.5,29.65,318,54192.27439063158,104.517,29.652,0.273,876,1.04517,0.3098818474758324,54192.58427247906,54.19258427247906,32.4355615913771
2021-01-15T10:18:30Z,44466.6,29.66,318,54255.84411438738,104.5,29.652,0.271,876,1.045,0.3104189044038668,54256.15453329178,54.256154533291785,32.47158140165368
2021-01-15T10:18:40Z,44445.7,29.66,318,54230.34301599014,104.345,29.652,0.256,876,1.04345,0.3109559613319012,54230.65397195147,54.23065397195147,32.454436951940004
2021-01-15T10:18:50Z,44397.2,29.71,318,54171.16582592956,104.327,29.652,0.254,876,1.04327,0.31149301825993553,54171.477318947815,54.171477318947815,32.381116422518694
2021-01-15T10:19:00Z,44400.6,29.68,318,54175.314329975045,104.448,29.652,0.266,876,1.0444799999999999,0.31203007518796994,54175.626360050235,54.17562636005024,32.40402055767245
2021-01-15T10:19:10Z,44459.6,29.65,318,54247.303076646676,104.396,29.652,0.261,876,1.04396,0.3125671321160043,54247.615643778794,54.24761564377879,32.472566390304074
2021-01-15T10:19:20Z,44449.2,29.66,318,54234.61353486049,104.569,29.652,0.278,876,1.04569,0.3131041890440387,54234.92663904953,54.23492663904953,32.45730890931196
2021-01-15T10:19:30Z,44459.6,29.68,318,54247.303076646676,104.448,29.652,0.266,876,1.0444799999999999,0.31364124597207305,54247.61671789265,54.24761671789265,32.45239649451887
2021-01-15T10:19:40Z,44428.4,29.69,318,54209.234451288125,104.775,29.652,0.299,876,1.0477500000000002,0.3141783029001074,54209.54862959102,54.209548629591026,32.420099944598995
2021-01-15T10:19:50Z,44411,29.7,318,54188.00387176123,104.345,29.652,0.256,876,1.04345,0.3147153598281418,54188.31858712106,54.18831858712106,32.39913060384683
2021-01-15T10:20:00Z,44473.5,29.73,318,54264.26313730321,104.431,29.652,0.265,876,1.04431,0.31525241675617616,54264.578389719965,54.264578389719965,32.43021344231167
