Date,CowTagID,SeepCode,Tide,Day_Night,SamplingTime,Salinity,pH,TempInSitu,TA,Notes
8/9/2021,C18,NA,Low,Day,07:00:00,36.26,8.009121307679198,26.89,2304.675049,bottle
8/9/2021,C17,NA,Low,Day,07:00:00,36,7.884461188045256,26.57,2347.220464,bottle
8/9/2021,C19,NA,Low,Day,07:00:00,36.22,7.9980630908749175,26.95,2340.570692,bottle
8/9/2021,C20,NA,Low,Day,07:00:00,36.14,7.884701362681248,26.35,2345.786101,bottle
8/8/2021,CSEEP,A,Low,Night,19:00:00,32.75,7.879841499253614,27.75,NA,NA
8/9/2021,CSEEP,Bottle1,Low,Day,07:00:00,9.058,7.552174010319935,26.9,2131.983254,"refridgerated, has HgCl counterpart, CRM 1.06% (filtered)"
8/8/2021,CSEEP,B,Mid,Night,22:00:00,35.72,7.903836591177633,27.68,2279.452864,NA
8/9/2021,CSEEP,Bottle1,Low,Day,07:00:00,9.073,7.378474722044782,26.9,2118.700716,"bottle, CRM 1.06% fixed"
8/9/2021,CSEEP,Bottle2,High,Day,13:00:00,35.45,8.082022867708762,27.55,2297.607256,bottle
8/9/2021,CSEEP,C,High,Night,01:00:00,35.76,7.946385493955093,27.28,2311.939864,NA
8/9/2021,CSEEP,D,Mid,Night,04:00:00,35.12,7.901854786960536,27.15,2326.731526,NA
8/9/2021,C6,NA,High,Day,13:00:00,36.38,8.047546339638306,27.36,2354.2844919999998,NA
8/9/2021,C1,NA,High,Day,13:00:00,36.17,8.03537226221219,27.57,2326.486827,NA
8/9/2021,C16,NA,High,Day,13:00:00,36.19,8.082047534490528,27.61,2317.184011,NA
8/9/2021,C3,NA,High,Day,13:00:00,36.24,8.06227151167327,27.55,2314.332404,NA
8/9/2021,C20,NA,High,Day,13:00:00,36.17,8.037103660325311,27.71,2306.803054,NA
8/9/2021,C19,NA,High,Day,13:00:00,36.36,8.038678309193845,27.56,2377.895232,NA
8/9/2021,C17,NA,High,Day,13:00:00,36.16,8.077316411328644,27.62,2305.71045,NA
8/9/2021,C18,NA,High,Day,13:00:00,36.36,8.04024372899155,27.56,2358.186363,NA
8/9/2021,C12,NA,High,Day,13:00:00,36.33,8.058770289873383,27.47,2352.554931,NA
8/9/2021,C4,NA,High,Day,13:00:00,36.21,8.03318171357041,28.5,2308.999155,NA
