Serial Number:20555848 --,,,,,,,,
,,,,,,,,
Date Time - GMT -10:00,"Temp, (*F)","Intensity, (lum/ft²)",Button Down,Button Up,Host Connect,Stopped,EOF,
4/4/22 22:36,83,"50""""",0, , , , , 
4/4/22 22:38,83,"35""""",0, , , , , 
4/4/22 22:40,83,"50""""",0, , , , , 
4/4/22 22:42,83,"42""""",0, , , , , 
4/4/22 22:44,83,"35""""",0, , , , , 
4/4/22 22:46,83,"42""""",0, , , , , 
4/4/22 22:48,83,"35""""",0, , , , , 
4/4/22 22:50,83,"50""""",0, , , , , 
4/4/22 22:52,83,"50""""",0, , , , , 
4/4/22 22:54,83,"35""""",0, , , , , 
4/4/22 22:56,83,"35""""",0, , , , , 
4/4/22 22:58,83,"35""""",0, , , , , 
4/4/22 23:00,83,"42""""",0, , , , , 
4/4/22 23:02,83,"27""""",0, , , , , 
4/4/22 23:04,83,"19""""",0, , , , , 
4/4/22 23:06,83,"42""""",0, , , , , 
4/4/22 23:08,82,"96""""",0, , , , , 
4/4/22 23:10,83,"19""""",0, , , , , 
4/4/22 23:12,83,"27""""",0, , , , , 
4/4/22 23:14,83,"27""""",0, , , , , 
4/4/22 23:16,83,"19""""",0, , , , , 
4/4/22 23:18,83,"12""""",0, , , , , 
4/4/22 23:20,83,"27""""",0, , , , , 
4/4/22 23:22,83,"27""""",0, , , , , 
4/4/22 23:24,83,"35""""",0, , , , , 
4/4/22 23:26,83,"19""""",0, , , , , 
4/4/22 23:28,83,"19""""",0, , , , , 
4/4/22 23:30,82,"88""""",0, , , , , 
4/4/22 23:32,83,"04""""",0, , , , , 
4/4/22 23:34,83,"04""""",0, , , , , 
4/4/22 23:36,83,"19""""",0, , , , , 
4/4/22 23:38,83,"19""""",0, , , , , 
4/4/22 23:40,83,"04""""",0, , , , , 
4/4/22 23:42,83,"19""""",0, , , , , 
4/4/22 23:44,83,"12""""",0, , , , , 
4/4/22 23:46,83,"04""""",0, , , , , 
4/4/22 23:48,83,"19""""",0, , , , , 
4/4/22 23:50,83,"12""""",0, , , , , 
4/4/22 23:52,82,"73""""",0, , , , , 
4/4/22 23:54,82,"88""""",0, , , , , 
4/4/22 23:56,82,"81""""",0, , , , , 
4/4/22 23:58,82,"81""""",0, , , , , 
4/5/22 00:00,82,"88""""",0, , , , , 
4/5/22 00:02,82,"81""""",0, , , , , 
4/5/22 00:04,82,"88""""",0, , , , , 
4/5/22 00:06,82,"88""""",0, , , , , 
4/5/22 00:08,82,"65""""",0, , , , , 
4/5/22 00:10,82,"65""""",0, , , , , 
4/5/22 00:12,82,"73""""",0, , , , , 
4/5/22 00:14,82,"73""""",0, , , , , 
4/5/22 00:16,82,"73""""",0, , , , , 
4/5/22 00:18,82,"50""""",0, , , , , 
4/5/22 00:20,82,"57""""",0, , , , , 
4/5/22 00:22,82,"57""""",0, , , , , 
4/5/22 00:24,82,"57""""",0, , , , , 
4/5/22 00:26,82,"65""""",0, , , , , 
4/5/22 00:28,82,"57""""",0, , , , , 
4/5/22 00:30,82,"73""""",0, , , , , 
4/5/22 00:32,82,"65""""",0, , , , , 
4/5/22 00:34,82,"65""""",0, , , , , 
4/5/22 00:36,82,"73""""",0, , , , , 
4/5/22 00:38,82,"73""""",0, , , , , 
4/5/22 00:40,82,"73""""",0, , , , , 
4/5/22 00:42,82,"73""""",0, , , , , 
4/5/22 00:44,82,"73""""",0, , , , , 
4/5/22 00:46,82,"73""""",0, , , , , 
4/5/22 00:48,82,"65""""",0, , , , , 
4/5/22 00:50,82,"57""""",0, , , , , 
4/5/22 00:52,82,"42""""",0, , , , , 
4/5/22 00:54,82,"42""""",0, , , , , 
4/5/22 00:56,82,"50""""",0, , , , , 
4/5/22 00:58,82,"50""""",0, , , , , 
4/5/22 01:00,82,"50""""",0, , , , , 
4/5/22 01:02,82,"50""""",0, , , , , 
4/5/22 01:04,82,"57""""",0, , , , , 
4/5/22 01:06,82,"65""""",0, , , , , 
4/5/22 01:08,82,"65""""",0, , , , , 
4/5/22 01:10,82,"50""""",0, , , , , 
4/5/22 01:12,82,"50""""",0, , , , , 
4/5/22 01:14,82,"50""""",0, , , , , 
4/5/22 01:16,82,"27""""",0, , , , , 
4/5/22 01:18,82,"42""""",0, , , , , 
4/5/22 01:20,82,"34""""",0, , , , , 
4/5/22 01:22,82,"42""""",0, , , , , 
4/5/22 01:24,82,"34""""",0, , , , , 
4/5/22 01:26,82,"34""""",0, , , , , 
4/5/22 01:28,82,"42""""",0, , , , , 
4/5/22 01:30,82,"50""""",0, , , , , 
4/5/22 01:32,82,"50""""",0, , , , , 
4/5/22 01:34,82,"50""""",0, , , , , 
4/5/22 01:36,82,"57""""",0, , , , , 
4/5/22 01:38,82,"50""""",0, , , , , 
4/5/22 01:40,82,"42""""",0, , , , , 
4/5/22 01:42,82,"50""""",0, , , , , 
4/5/22 01:44,82,"57""""",0, , , , , 
4/5/22 01:46,82,"50""""",0, , , , , 
4/5/22 01:48,82,"65""""",0, , , , , 
4/5/22 01:50,82,"57""""",0, , , , , 
4/5/22 01:52,82,"42""""",0, , , , , 
4/5/22 01:54,82,"50""""",0, , , , , 
4/5/22 01:56,82,"57""""",0, , , , , 
4/5/22 01:58,82,"50""""",0, , , , , 
4/5/22 02:00,82,"65""""",0, , , , , 
4/5/22 02:02,82,"57""""",0, , , , , 
4/5/22 02:04,82,"42""""",0, , , , , 
4/5/22 02:06,82,"50""""",0, , , , , 
4/5/22 02:08,82,"50""""",0, , , , , 
4/5/22 02:10,82,"42""""",0, , , , , 
4/5/22 02:12,82,"42""""",0, , , , , 
4/5/22 02:14,82,"50""""",0, , , , , 
4/5/22 02:16,82,"50""""",0, , , , , 
4/5/22 02:18,82,"42""""",0, , , , , 
4/5/22 02:20,82,"42""""",0, , , , , 
4/5/22 02:22,82,"42""""",0, , , , , 
4/5/22 02:24,82,"42""""",0, , , , , 
4/5/22 02:26,82,"42""""",0, , , , , 
4/5/22 02:28,82,"27""""",0, , , , , 
4/5/22 02:30,82,"42""""",0, , , , , 
4/5/22 02:32,82,"42""""",0, , , , , 
4/5/22 02:34,82,"42""""",0, , , , , 
4/5/22 02:36,82,"34""""",0, , , , , 
4/5/22 02:38,82,"27""""",0, , , , , 
4/5/22 02:40,82,"27""""",0, , , , , 
4/5/22 02:42,82,"34""""",0, , , , , 
4/5/22 02:44,82,"42""""",0, , , , , 
4/5/22 02:46,82,"34""""",0, , , , , 
4/5/22 02:48,82,"42""""",0, , , , , 
4/5/22 02:50,82,"42""""",0, , , , , 
4/5/22 02:52,82,"27""""",0, , , , , 
4/5/22 02:54,82,"42""""",0, , , , , 
4/5/22 02:56,82,"27""""",0, , , , , 
4/5/22 02:58,82,"27""""",0, , , , , 
4/5/22 03:00,82,"34""""",0, , , , , 
4/5/22 03:02,82,"34""""",0, , , , , 
4/5/22 03:04,82,"27""""",0, , , , , 
4/5/22 03:06,82,"34""""",0, , , , , 
4/5/22 03:08,82,"34""""",0, , , , , 
4/5/22 03:10,82,"27""""",0, , , , , 
4/5/22 03:12,82,"34""""",0, , , , , 
4/5/22 03:14,82,"19""""",0, , , , , 
4/5/22 03:16,82,"19""""",0, , , , , 
4/5/22 03:18,82,"11""""",0, , , , , 
4/5/22 03:20,82,"11""""",0, , , , , 
4/5/22 03:22,82,"19""""",0, , , , , 
4/5/22 03:24,82,"19""""",0, , , , , 
4/5/22 03:26,82,"19""""",0, , , , , 
4/5/22 03:28,82,"19""""",0, , , , , 
4/5/22 03:30,82,"11""""",0, , , , , 
4/5/22 03:32,82,"11""""",0, , , , , 
4/5/22 03:34,82,"19""""",0, , , , , 
4/5/22 03:36,82,"27""""",0, , , , , 
4/5/22 03:38,82,"19""""",0, , , , , 
4/5/22 03:40,82,"11""""",0, , , , , 
4/5/22 03:42,82,"11""""",0, , , , , 
4/5/22 03:44,82,"11""""",0, , , , , 
4/5/22 03:46,82,"03""""",0, , , , , 
4/5/22 03:48,82,"11""""",0, , , , , 
4/5/22 03:50,82,"19""""",0, , , , , 
4/5/22 03:52,82,"27""""",0, , , , , 
4/5/22 03:54,82,"19""""",0, , , , , 
4/5/22 03:56,82,"19""""",0, , , , , 
4/5/22 03:58,82,"03""""",0, , , , , 
4/5/22 04:00,82,"03""""",0, , , , , 
4/5/22 04:02,82,"11""""",0, , , , , 
4/5/22 04:04,82,"11""""",0, , , , , 
4/5/22 04:06,82,"11""""",0, , , , , 
4/5/22 04:08,82,"11""""",0, , , , , 
4/5/22 04:10,82,"19""""",0, , , , , 
4/5/22 04:12,82,"11""""",0, , , , , 
4/5/22 04:14,82,"19""""",0, , , , , 
4/5/22 04:16,82,"19""""",0, , , , , 
4/5/22 04:18,82,"03""""",0, , , , , 
4/5/22 04:20,82,"11""""",0, , , , , 
4/5/22 04:22,82,"03""""",0, , , , , 
4/5/22 04:24,82,"11""""",0, , , , , 
