Serial Number:20555870 --

"Date Time, GMT -1000","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","Stopped","EOF"
2022-07-15 04:50:00,22.56,0, , , , , 
2022-07-15 04:52:00,22.56,0, , , , , 
2022-07-15 04:54:00,22.56,0, , , , , 
2022-07-15 04:56:00,22.56,0, , , , , 
2022-07-15 04:58:00,22.56,0, , , , , 
2022-07-15 05:00:00,22.56,0, , , , , 
2022-07-15 05:02:00,22.56,0, , , , , 
2022-07-15 05:04:00,22.56,0, , , , , 
2022-07-15 05:06:00,22.52,0, , , , , 
2022-07-15 05:08:00,22.56,0, , , , , 
2022-07-15 05:10:00,22.56,0, , , , , 
2022-07-15 05:12:00,22.52,0, , , , , 
2022-07-15 05:14:00,22.52,0, , , , , 
2022-07-15 05:16:00,22.52,0, , , , , 
2022-07-15 05:18:00,22.56,0, , , , , 
2022-07-15 05:20:00,22.52,0, , , , , 
2022-07-15 05:22:00,22.56,0, , , , , 
2022-07-15 05:24:00,22.56,0, , , , , 
2022-07-15 05:26:00,22.56,0, , , , , 
2022-07-15 05:28:00,22.48,0, , , , , 
2022-07-15 05:30:00,22.52,0, , , , , 
2022-07-15 05:32:00,22.52,0, , , , , 
2022-07-15 05:34:00,22.52,0, , , , , 
2022-07-15 05:36:00,22.52,0, , , , , 
2022-07-15 05:38:00,22.56,0, , , , , 
2022-07-15 05:40:00,22.61,0, , , , , 
2022-07-15 05:42:00,22.52,0, , , , , 
2022-07-15 05:44:00,22.52,0, , , , , 
2022-07-15 05:46:00,22.52,0, , , , , 
2022-07-15 05:48:00,22.56,0, , , , , 
2022-07-15 05:50:00,22.52,0, , , , , 
2022-07-15 05:52:00,22.52,0, , , , , 
2022-07-15 05:54:00,22.56,0, , , , , 
2022-07-15 05:56:00,22.56,0, , , , , 
2022-07-15 05:58:00,22.52,0, , , , , 
2022-07-15 06:00:00,22.52,0, , , , , 
2022-07-15 06:02:00,22.52,0, , , , , 
2022-07-15 06:04:00,22.48,0, , , , , 
2022-07-15 06:06:00,22.52,0, , , , , 
2022-07-15 06:08:00,22.48,0, , , , , 
2022-07-15 06:10:00,22.52,0, , , , , 
